Name_matched,Height_mean,LA_mean,LN_mean,LMA_mean,SSD_mean,SM_mean
Abies balsamea,25.942,30,14.829019,0.201125475,0.41,7.302428572
Abies concolor,48.966,100.05,12.93211111,0.25755819,0.399083333,29.64695036
Abies homolepis,40,NA,NA,NA,NA,17.3545
Abies magnifica,53.73133333,NA,NA,NA,0.42,70.05143213
Abies sachalinensis,32.35,NA,10.8,NA,NA,9.61725
Abutilon theophrasti,1.5,17251.11834,38.73042833,0.039165101,0.21162698,7.4897
Acacia aneura,6.333333333,218.2605667,18.78203113,0.391782699,0.9770338,15.99479167
Acacia bilimekii,6,NA,NA,NA,NA,28.7
Acacia drepanolobium,NA,NA,NA,NA,NA,43.33333333
Acacia pennatula,NA,NA,NA,NA,NA,81.86666667
Acacia peuce,NA,NA,NA,NA,1.226925,NA
Acacia suaveolens,2.415,300.6216667,19.60062595,0.241810961,0.7,29.75662222
Acacia victoriae,4,133,NA,0.230946882,0.692244,38.057875
Acer palmatum,15,1935.7007,22.5,0.042221036,NA,38.03548148
Acer pictum,NA,NA,NA,0.03882,0.62853,25.72
Acer rufinerve,NA,NA,NA,0.0368,0.45,26.46
Acer saccharum,27.0828,7270.098855,20.2011512,0.052561752,0.66,60.8416822
Achillea millefolium,0.344170553,820.6714678,24.53650225,0.077538908,0.344733747,0.173463525
Achyranthes japonica,NA,NA,NA,NA,NA,2.03
Actaea spicata,0.420388889,16131.31143,23.00282667,0.024590068,0.194169904,25.26225556
Adansonia digitata,20,2461.347,21.94136126,0.067616439,0.27552,476.9444444
Adenophora potaninii,NA,NA,NA,NA,NA,0.5
Aechmea nudicaulis,NA,NA,5.7,NA,NA,0.39
Aegilops triuncialis,0.4,NA,NA,NA,NA,14.21125
Aesculus turbinata,30,NA,NA,NA,0.45,8637.916667
Agathis ovata,25,NA,NA,NA,NA,NA
Agave angustifolia,NA,NA,NA,NA,NA,7.35
Agave marmorata,NA,NA,NA,NA,NA,3.17
Agave potatorum,NA,NA,NA,NA,NA,6.03
Agrimonia eupatoria,0.62347619,4795.175667,16.675,0.064056217,0.518463843,17.17768452
Agropyron cristatum,0.4548,457.4444444,16.75036174,0.143136839,NA,6.176332383
Agrostis capillaris,0.332206807,140.9003368,24.20557343,0.039399669,0.269080688,0.217666667
Ailanthus altissima,19.94366667,NA,29.14869889,0.066983483,0.532031333,31.40061556
Alliaria petiolata,0.473333333,5221.90947,44.39776312,0.024430528,0.375543478,2.468444444
Allium sativum,0.375,NA,NA,NA,NA,NA
Allium tricoccum,NA,NA,NA,NA,NA,14.379
Allium vineale,0.47,1195,NA,0.053531045,0.154094,13.0008
Aloe peglerae,NA,NA,NA,NA,NA,1.46
Alternanthera philoxeroides,0.06096,NA,NA,NA,NA,NA
Alyxia stellata,NA,NA,10.3,0.126,NA,NA
Ambrosia deltoidea,NA,61.6477666,44.19,0.400589341,NA,12.27
Ambrosia dumosa,0.5649,238.990439,30.51066667,0.070444606,NA,3.220416667
Anacamptis pyramidalis,0.4125,1099.0685,NA,0.029015456,0.103796792,0.0016
Anastatica hierochuntica,NA,NA,NA,NA,NA,1.2
Andropogon gerardii,1.2641,1177.446346,10.01110262,0.060625518,0.262383367,2.754368022
Androsace elongata,0.015,NA,NA,NA,NA,0.5762
Anemone patens,NA,835.2366665,NA,0.043236319,NA,NA
Anisoptera laevis,NA,NA,NA,NA,0.5175,NA
Anthericum liliago,0.4625,3337.25,NA,0.056116723,NA,5.7075
Anthericum ramosum,0.408333333,1269.656222,12.06393333,0.053128178,0.162778283,3.0302
Anthoxanthum odoratum,0.42235881,326.2964014,20.34930496,0.040009859,0.217602831,0.657103297
Anthriscus caucalis,0.553333333,3649.4,NA,0.034398112,0.209927333,1.202073333
Anthyllis vulneraria,0.265291667,62.39154286,29.2106825,0.063926823,0.126612318,2.858405682
Aquilaria malaccensis,NA,NA,NA,NA,0.32,NA
Aquilegia chrysantha,NA,NA,NA,NA,NA,0.99
Arabidopsis lyrata,0.145,100.5,NA,0.040228166,0.177168575,0.176
Arabidopsis thaliana,0.202083333,168.3437805,27.16281746,0.031660517,0.15943134,0.022488667
Arabis alpina,0.213888889,95.84,30.45561333,0.03845226,0.167263478,0.2526
Araucaria araucana,45,NA,5.8,0.318471338,0.527583333,3942.5625
Araucaria cunninghamii,60,11.271,NA,0.213074235,0.450932889,279.57435
Araucaria hunsteinii,80,NA,NA,NA,0.383725,548.7733333
Araucaria laubenfelsii,68.8,NA,NA,NA,NA,NA
Arctophila fulva,0.6096,NA,NA,NA,NA,NA
Ardisia elliptica,5,NA,16.2,0.1085,0.57,343.52
Ardisia escallonioides,7.49808,NA,NA,NA,NA,NA
Arenaria serpyllifolia,0.1695,7.46120175,12.22861667,0.050756439,0.210735139,0.080929142
Argyroxiphium sandwicense,NA,733.1938543,NA,0.50522568,NA,NA
Ariocarpus fissuratus,NA,NA,NA,NA,NA,0.091
Arisaema triphyllum,0.4786,3123,41.375,0.023056781,0.057775986,24.32931489
Aristida bipartita,0.65,NA,NA,NA,NA,NA
Armeria maritima,0.241955,90.70444444,19.34,0.076091985,NA,1.053298684
Artemisia genipi,0.1,NA,29.8,0.042,NA,0.22
Asarum canadense,0.0875,9949,NA,0.040928659,0.156909183,8.8985
Aspasia principissa,NA,NA,11.85,0.085943552,0.162199139,NA
Asplenium adulterinum,0.1325,NA,NA,NA,NA,NA
Asplenium cuneifolium,0.22,NA,NA,NA,NA,NA
Asplenium scolopendrium,0.39375,15385,NA,0.081448019,NA,NA
Aster amellus,0.3125,485.9696442,22.32662667,0.079103744,0.352886494,0.580321429
Astragalus alopecurus,0.75,NA,NA,NA,NA,NA
Astragalus scaphoides,NA,NA,NA,NA,NA,4.32
Astrocaryum chambira,22,22189.3,20.21309197,0.099482656,NA,NA
Astrocaryum mexicanum,8,8742.5,16.695,0.070270737,NA,4014.666667
Astrocaryum standleyanum,15.02370543,NA,33.40657122,0.089989796,0.508141839,7589.971
Astrophytum asterias,NA,NA,NA,NA,NA,1.383
Atriplex canescens,1.1096,52.125,22.6125,0.239729885,NA,10.69356802
Atriplex vesicaria,0.45,33.4014,NA,0.169945509,NA,2.788666667
Avicennia germinans,11.37906667,1590,18,0.1543,0.776424,10120
Avicennia marina,9,NA,NA,0.13568521,0.6476625,3986.666667
Balsamorhiza sagittata,0.6096,6812.953283,NA,0.100333464,NA,5.362767329
Banksia ericifolia,2,11.663,8.35,0.262368173,0.64,18.379
Bertholletia excelsa,48.88888889,20810.65001,26.70551,0.117317086,0.645006074,6500
Betula nana,0.570859259,76.2382869,23.55787868,0.082766619,0.641181,0.461492172
Betula pendula,20.35966667,2032.213806,24.09661423,0.070716288,0.606906405,0.339621699
Borassus aethiopum,20,NA,11.48,NA,NA,NA
Bothriochloa insculpta,2,3081.25,19.68,0.026324544,0.1846188,0.32
Bothriochloa ischaemum,0.721466667,106.5,12.27,0.056043956,NA,0.707341561
Bouteloua rigidiseta,NA,NA,NA,NA,NA,0.7
Brassica insularis,NA,NA,NA,NA,NA,5.36
Brassica napus,1.160566667,NA,NA,0.041812405,NA,3.444894108
Bromus tectorum,0.36378046,313.144348,22.75933333,0.044739055,0.22184,2.692890306
Brosimum alicastrum,36.4306481,4067.338984,21.50171262,0.080105148,0.618057938,1062.95475
Bursera glabrifolia,NA,NA,NA,NA,NA,45.64
Bursera graveolens,NA,NA,NA,NA,0.32,NA
Calamagrostis canescens,1.25,1060.867045,21.89214889,0.049758973,NA,0.06635
Calamagrostis epigeios,1,4994.5,17.3047619,0.046468401,0.1328579,0.0765
Calamus rhabdocladus,NA,NA,NA,NA,NA,54.2
Calathea micans,NA,NA,NA,NA,NA,36
