Name_submitted,Name_matched,Name_match_with_do_not_use,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,Checked_ruth
Abies balsamea,Abies balsamea,Abies balsamea,1,Accepted,Abies balsamea,(L.) Mill.,Pinaceae,tpl;tropicos;usda, ,,
Abies concolor,Abies concolor,Abies concolor,1,Accepted,Abies concolor,(Gordon) Lindl. ex Hildebr.,Pinaceae,tpl, ,,
Abies homolepis,Abies homolepis,Abies homolepis,1,Accepted,Abies homolepis,Siebold & Zucc.,Pinaceae,tpl;tropicos;usda, ,,
Abies magnifica,Abies magnifica,Abies magnifica,1,Accepted,Abies magnifica,A.Murray bis,Pinaceae,tpl, ,,
Abies sachalinensis,Abies sachalinensis,Abies sachalinensis,1,Synonym,Abies nephrolepis subsp. sachalinensis,(F. Schmidt) Vorosch.,Pinaceae,tropicos, ,,
Abies sachalinensis,Abies sachalinensis,Abies sachalinensis,1,Accepted,Abies sachalinensis,(F.Schmidt) Mast.,Pinaceae,tpl, ,,
Abutilon theophrasti,Abutilon theophrasti,Abutilon theophrasti,1,Accepted,Abutilon theophrasti,Medik.,Malvaceae,tpl;tropicos;usda, ,,
Acacia aneura,Acacia aneura,Acacia aneura,1,Accepted,Acacia aneura,F.Muell. ex Benth.,Fabaceae,ildis, ,,
Acacia bilimekii,Acacia bilimekii,Acacia bilimekii,1,Accepted,Acacia bilimekii,J.F. Macbr.,Fabaceae,tropicos, ,,
Acacia pennatula,Acacia pennatula,Acacia pennatula,1,Accepted,Acacia pennatula,(Schltdl. & Cham.) Benth.,Fabaceae,tropicos;usda, ,,
Acacia peuce,Acacia peuce,Acacia peuce,1,Accepted,Acacia peuce,F.Muell.,Fabaceae,ildis, ,,
Acacia suaveolens,Acacia suaveolens,Acacia suaveolens,1,Accepted,Acacia suaveolens,(Smith) Willd.,Fabaceae,ildis, ,,
Acacia victoriae,Acacia victoriae,Acacia victoriae,1,Accepted,Acacia victoriae,Benth. in T.Mitch.,Fabaceae,ildis, ,,
Acer palmatum,Acer palmatum,Do not use,1,Synonym,Acer macrophyllum,Pursh,Sapindaceae,tpl, ,,Do not use.
Acer palmatum,Acer palmatum,Acer palmatum,1,Accepted,Acer palmatum,Thunb.,Sapindaceae,tpl;tropicos;usda, ,,
Acer pictum,Acer pictum,Acer pictum,1,Accepted,Acer pictum,Thunb.,Sapindaceae,tpl, ,,
Acer rufinerve,Acer rufinerve,Acer rufinerve,1,Accepted,Acer rufinerve,Siebold & Zucc.,Sapindaceae,tpl, ,,
Acer saccharum,Acer saccharum,Acer saccharum,1,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,,
Achillea millefolium,Achillea millefolium,Achillea millefolium,1,Accepted,Achillea millefolium,,Asteraceae,tpl, ,,
Stipa calamagrostis,Stipa calamagrostis,Stipa calamagrostis,1,Synonym,Achnatherum calamagrostis,(L.) P. Beauv.,Poaceae,tropicos, ,,Okay
Achyranthes japonica,Achyranthes japonica,Achyranthes japonica,1,Synonym,Achyranthes bidentata,Blume,Amaranthaceae,tpl, ,,
Achyranthes japonica,Achyranthes japonica,Achyranthes japonica,1,Synonym,Achyranthes bidentata var. japonica,Miq.,Amaranthaceae,tropicos, ,,
Achyranthes japonica,Achyranthes japonica,Achyranthes japonica,1,Accepted,Achyranthes japonica,(Miq.) Nakai,Amaranthaceae,usda, ,,
Actaea spicata,Actaea spicata,Actaea spicata,1,Accepted,Actaea spicata,L.,Ranunculaceae,tpl;tropicos;usda, ,,
Adansonia digitata,Adansonia digitata,Adansonia digitata,1,Accepted,Adansonia digitata,L.,Malvaceae,tpl;tropicos;usda, ,,
Adenophora potaninii,Adenophora potaninii,Adenophora potaninii,1,Accepted,Adenophora potaninii,Korsh.,Campanulaceae,tpl;tropicos, ,,
Cleyera japonica,Cleyera japonica,Cleyera japonica,1,Synonym,Adinandra japonica,(Thunb.) T.L. Ming,Pentaphylacaceae,tropicos, ,,
Aechmea nudicaulis,Aechmea nudicaulis,Aechmea nudicaulis,1,Accepted,Aechmea nudicaulis,(L.) Griseb.,Bromeliaceae,tpl;tropicos;usda, ,,
Aegilops triuncialis,Aegilops triuncialis,Aegilops triuncialis,1,Accepted,Aegilops triuncialis,L.,Poaceae,tpl;tropicos;usda, ,,
Aesculus turbinata,Aesculus turbinata,Aesculus turbinata,1,Accepted,Aesculus turbinata,Blume,Sapindaceae,tpl;tropicos;usda, ,,
Agathis ovata,Agathis ovata,Agathis ovata,1,Accepted,Agathis ovata,(C.Moore ex Vieill.) Warb.,Araucariaceae,tpl, ,,
Agave angustifolia,Agave angustifolia,Agave angustifolia,1,Accepted,Agave angustifolia,Haw.,Asparagaceae,tropicos;usda, [Ambiguous match] ,,
Agave marmorata,Agave marmorata,Agave marmorata,1,Accepted,Agave marmorata,Roezl,Asparagaceae,tpl;tropicos, ,,
Agave potatorum,Agave potatorum,Agave potatorum,1,Accepted,Agave potatorum,Zucc.,Asparagaceae,tpl;tropicos, ,,
Agave angustifolia,Agave angustifolia,Agave angustifolia,1,Synonym,Agave vivipara,L.,Asparagaceae,tpl, [Ambiguous match] ,,
Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,1,Accepted,Agrimonia eupatoria,L.,Rosaceae,tpl;tropicos;usda, ,,
Agrimonia eupatoria,Agrimonia eupatoria,Do not use,1,Synonym,Agrimonia parviflora,Sol.,Rosaceae,tpl, [Ambiguous match] ,,Do not use
Agrimonia eupatoria,Agrimonia eupatoria,Do not use,1,Synonym,Agrimonia pilosa,Ledeb.,Rosaceae,tpl, [Ambiguous match] ,,Do not use
Agropyron cristatum,Agropyron cristatum,Agropyron cristatum,1,Accepted,Agropyron cristatum,(L.) Gaertn.,Poaceae,tpl;tropicos;usda, ,,
Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,1,Accepted,Agrostis capillaris,L.,Poaceae,tpl;tropicos;usda, ,,
Ailanthus altissima,Ailanthus altissima,Ailanthus altissima,1,Accepted,Ailanthus altissima,(Mill.) Swingle,Simaroubaceae,tpl;tropicos;usda, ,,
Alliaria petiolata,Alliaria petiolata,Alliaria petiolata,1,Accepted,Alliaria petiolata,(M.Bieb.) Cavara & Grande,Brassicaceae,tpl, ,,
Alliaria petiolata,Alliaria petiolata,Alliaria petiolata,1,Accepted,Alliaria petiolata,(M. Bieb.) Cavara & Grande,Brassicaceae,tropicos;usda, ,,
Allium sativum,Allium sativum,Allium sativum,1,Accepted,Allium sativum,L.,Amaryllidaceae,tpl;tropicos;usda, ,,
Allium tricoccum,Allium tricoccum,Allium tricoccum,1,Accepted,Allium tricoccum,Aiton,Amaryllidaceae,tpl;tropicos;usda, ,,
Allium vineale,Allium vineale,Allium vineale,1,Accepted,Allium vineale,L.,Amaryllidaceae,tpl;tropicos;usda, ,,
