"","SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue","UID1","checkY","checknote","habitatAuthor","UID_new","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","Survival_index999","Survival_index_La_RepExp","Growth","Retrogression","Repro_life_expectancy","Age_at_Maturity","GiniF_repro","Gini_life99","Gini_life999","Gen_time","NSeedStages"
"117","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.183285,1,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",1,2.38234394460511,2.38234394460511,2,4,5,0.5,0.4,1,0,0,1,1,1,1,1,1.12212635944325,1
"120","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.2126925,2,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",2,1.70401375047454,1.70401375047454,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.18703823554643,1
"123","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.224135,3,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",3,1.40937843066276,1.40937843066275,2,5,6,0.4,0.333333333333333,1,0,0,1,1,1,1,1,1.22290096803547,1
"126","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.2338605,4,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",4,1.3973139284624,1.39731392846239,2,5,6,0.4,0.333333333333333,1,0,0,1,1,1,1,1,1.40112870969496,1
"129","Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.237751,5,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree",5,1.05856671604018,1.05856671604018,2,5,6,0.4,0.333333333333333,1,0,0,1,1,1,1,1,1.28766105828652,1
"212","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.116206,6,"Y","Correct as is","grassland and scree",6,5.87080533326216,5.87080533326216,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.01137303165133,1
"215","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.111605,7,"Y","Correct as is","grassland and scree",7,4.4296532073293,4.4296532073293,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.01890995496947,1
"218","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.107696,8,"Y","Correct as is","grassland and scree",8,3.84356271426938,3.84356271426938,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.02267623183264,1
"221","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1056695,9,"Y","Correct as is","grassland and scree",9,3.50534854733924,3.50534854733924,2,3,4,0.666666666666667,0.5,1,0,0,1,1,1,1,1,1.05236842134746,1
"224","Myosotis_ramosissima","Myosotis ramosissima",NA,"Myosotis","Boraginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostal","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1048595,10,"Y","Correct as is","grassland and scree",10,3.15950766973543,3.15950766973543,2,3,4,0.666666666666667,0.5,1,0,0,1,0.999999999999999,1,1,1,1.02928637883475,1
"326","Saxifraga_tridactylites","Saxifraga tridactylites",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.1956395,11,"Y","Correct as is","grassland and scree",11,3.07220875835521,3.07220875835521,2,4,6,0.5,0.333333333333333,1,0,0,1,1,1,1,1,1.11413522815604,1
