"","SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue","UID1","checkY","checknote","habitatAuthor","UID_new","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","Survival_index999","Survival_index_La_RepExp","Growth","Retrogression","Repro_life_expectancy","Age_at_Maturity","GiniF_repro","Gini_life99","Gini_life999","Gen_time","NSeedStages"
"663","Agrimonia_eupatoria","Agrimonia eupatoria",NA,"Agrimonia","Rosaceae","Rosales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Kiviniemi","Plant Ecol","2002","None",NA,6,1993,1998,"1",1,"No","Yes","No","A",58.9333333333333,17.1333333333333,36,"SWE","Europe","FGS","A","Individual","Unmanipulated","W",1993,NA,NA,1998,NA,NA,"Divided","Yes",NA,4,0.9882,1,"Y","Use as is","road verges, adjacent to gravel road and arable fields",23,0.0728869159886314,0.189089358253342,2,56,107,0.0357142857142857,0.0186915887850467,0.0631567586591658,0.120425847351834,0.0857692546284825,24.0924331440306,7.5748031496063,0.00609987593443961,0.0975388288517337,0.0510724201154027,47.2181787837545,0
"669","Agrimonia_eupatoria","Agrimonia eupatoria",NA,"Agrimonia","Rosaceae","Rosales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Kiviniemi","Plant Ecol","2002","None",NA,6,1993,1998,"1",1,"No","Yes","No","B",58.9333333333333,17.1333333333333,36,"SWE","Europe","FGS","A","Individual","Unmanipulated","W",1993,NA,NA,1998,NA,NA,"Divided","Yes",NA,4,0.9958,2,"Y","Use as is","road verges, adjacent to gravel road and arable fields",24,0.115713222654386,5.08148485089662,6,251,407,0.0239043824701195,0.0147420147420147,0.0772427250209819,0.191843178243124,0.0433160441030758,69.7300360073841,7.94718211730252,0.00461401681671049,0.0285718444626289,0.0176386660166735,38.7726690418486,0
"955","Artemisia_genipi","Artemisia genipi",NA,"Artemisia","Compositae","Asterales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Marcante; Winkler; Erschbamer","Annals Bot","2009","10.1093/aob/mcp047",NA,3,2004,2006,"1",2,"Number of rosettes","No","No","Pioneer stage",46.8166666666667,11.0333333333333,2350,"AUT","Europe","TCF","A","Individual","Unmanipulated","W",2004,NA,NA,2006,NA,NA,"Divided","Yes",NA,5,0.972,3,"Y_edits","SurvivalIssue in matrix 3 is probably due to rounding, ammended matrix column 5 to fix","alpine glacial moraines",37,0.248800472130671,7.12400917420756,6,79,123,0.0759493670886076,0.0487804878048781,0.235468863490802,0.250561571382235,0.0410704352454473,18.9563385354001,6.52473743808795,0.035355087554233,0.108677118682417,0.0710290183426255,16.5763083045716,0
"958","Artemisia_genipi","Artemisia genipi",NA,"Artemisia","Compositae","Asterales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Marcante; Winkler; Erschbamer","Annals Bot","2009","10.1093/aob/mcp047",NA,3,2004,2006,"1",2,"Number of rosettes","No","No","Early successional stage",46.8166666666667,11.0333333333333,2350,"AUT","Europe","TCF","A","Individual","Unmanipulated","W",2004,NA,NA,2006,NA,NA,"Divided","Yes",NA,5,1,4,"Y_edits","SurvivalIssue in matrix 3 is probably due to rounding, ammended matrix column 5 to fix","alpine glacial moraines",38,0.107775571224705,0.399957637997452,4,29,44,0.137931034482759,0.0909090909090909,0.391142299664312,0.154328640158836,0.0812577270147977,5.77084153618722,4.45561569800324,0.0838766957808346,0.193514798861531,0.138740308614203,13.404140911472,0
"1719","Cirsium_undulatum","Cirsium undulatum",NA,"Cirsium","Compositae","Asterales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Dalgleish; Koons; Adler","J Ecol","2010","10.1111/j.1365-2745.2009.01585.x",NA,30,1943,1972,"1",1,"No","No","Yes","Hays",38.13,-99.05,627,"USA","N America","TGS","A","Individual","Unmanipulated","W",1942,NA,NA,1972,NA,NA,"Divided","Yes",NA,2,0.184333333333333,5,"Y_edits","coordinates refined, typo in matrix corrected","grasslands",40,1.03433333333333,1.26554720065386,2,4,6,0.5,0.333333333333333,0.899467009740857,0.154970080185176,0,1.22353902738047,1,1.77635683940025e-16,0,1.77635683940025e-16,1.19934175675331,0
"2598","Gentiana_pneumonanthe","Gentiana pneumonanthe","Marsh gentian","Gentiana","Gentianaceae","Gentianales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Oostermeijer; Brugman; de Boer; den Nijs","J Ecol","1996","10.2307/2261351","Ellis Ecol 2012; Crone Cons Biol 2013",5,1987,1991,"1",6,"Rosette diameter","No","No","GEPN_DW3",52.8105555555556,6.3925,13,"NLD","Europe","TBM","A","Individual","Unmanipulated","W",1987,NA,NA,1991,NA,NA,"Divided","Yes",NA,5,1,6,"Y_edits","Use all individual year matrices of GEPN_DW3,
                                          these should have been marked as individual 
                                          rather than mean","Heath",43,0.416755986235334,5.22347494213769,4,48,74,0.0833333333333333,0.0540540540540541,0.227976379042801,0.308199819406469,0.080756755568868,12.4488118284331,5.09686556496494,0.000970866339377733,0.0541890553310229,0.0349831081184383,8.70087519557956,0
"2611","Geranium_sylvaticum","Geranium sylvaticum",NA,"Geranium","Geraniaceae","Geraniales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Ramula; Toivonen; Mutikainen","Int J Plant Sci","2007","10.1086/512040","Evju Plant Ecol 2011",2,2003,2004,"1",3,"Plant height; length of the longest leaf;  number of flower buds; number of fruits","No","No","Oriketo",60.4583333333333,22.2416666666667,15,"FIN","Europe","BOR","A","Individual","Unmanipulated","W",2003,NA,NA,2004,NA,NA,"Divided","Yes",NA,8,0.97,7,"Y","Use as is","grasslands",44,0.273241709036694,3.00594165508145,4,43,68,0.0930232558139535,0.0588235294117647,0.224805054441248,0.226042874362635,0.0124468189838941,12.5535157100356,5.23967853082337,0.02644950599443,0.116005080618795,0.0773571228092897,11.6778997688845,0
"2612","Geranium_sylvaticum","Geranium sylvaticum",NA,"Geranium","Geraniaceae","Geraniales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Ramula; Toivonen; Mutikainen","Int J Plant Sci","2007","10.1086/512040","Evju Plant Ecol 2011",2,2003,2004,"1",3,"Plant height; length of the longest leaf;  number of flower buds; number of fruits","No","No","Ruissalo",60.4583333333333,22.2416666666667,15,"FIN","Europe","BOR","A","Individual","Unmanipulated","W",2003,NA,NA,2004,NA,NA,"Divided","Yes",NA,8,0.97,8,"Y","Use as is","grasslands",45,0.576855810171273,23.9782780811239,7,56,87,0.125,0.0804597701149425,0.33638997106138,0.396597658334411,0.00989342415368546,15.31589023612,5.49329137507241,0.0200191571776668,0.0863036793271173,0.057731922608442,8.4502233573593,0
"2613","Geranium_sylvaticum","Geranium sylvaticum",NA,"Geranium","Geraniaceae","Geraniales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Ramula; Toivonen; Mutikainen","Int J Plant Sci","2007","10.1086/512040","Evju Plant Ecol 2011",2,2003,2004,"1",3,"Plant height; length of the longest leaf;  number of flower buds; number of fruits","No","No","Katar",60.4583333333333,22.2416666666667,15,"FIN","Europe","BOR","A","Individual","Unmanipulated","W",2003,NA,NA,2004,NA,NA,"Divided","Yes",NA,8,0.972,9,"Y","Use as is","grasslands",46,0.171045790129582,1.12583140812503,5,30,46,0.166666666666667,0.108695652173913,0.332085021610336,0.186149994662715,0.0171044774058656,8.50855181563843,6.54783337076402,0.0577900025517138,0.174880678692667,0.137094188791208,10.8160914742445,0
"3403","Linum_tenuifolium","Linum tenuifolium",NA,"Linum","Linaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Münzbergová","Plant Biology","2013","10.1111/plb.12007",NA,4,2001,2004,"1",3,"Plant height","Yes","No","LF1",50.48,14.13,NA,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2004,NA,NA,"Divided","Yes",NA,3,0.846666666666667,10,"Y_edits","lat long added","grassland",58,0.589923313882965,3.15770426915465,3,20,31,0.15,0.0967741935483871,0.329880419006042,0.253526543293218,0.0325302357602483,5.57251908396947,3.52168544335366,0.0262220525699309,0.133055964231757,0.0854767181424833,5.98184101075207,0
"3407","Linum_tenuifolium","Linum tenuifolium",NA,"Linum","Linaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Münzbergová","Plant Biology","2013","10.1111/plb.12007",NA,4,2001,2004,"1",3,"Plant height","Yes","No","LF2",50.48,14.13,NA,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2004,NA,NA,"Divided","Yes",NA,3,0.66,11,"Y_edits","lat long added","grassland",59,0.801705966362486,2.86795379327225,2,11,17,0.181818181818182,0.117647058823529,0.344050168998941,0.286869403891431,0.0146257169539102,2.9163873192223,2.89671838515583,0.0738787412562246,0.20120737922336,0.131761319927711,3.95999835947262,0
"3411","Linum_tenuifolium","Linum tenuifolium",NA,"Linum","Linaceae","Malpighiales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Münzbergová","Plant Biology","2013","10.1111/plb.12007",NA,4,2001,2004,"1",3,"Plant height","Yes","No","LF3",50.48,14.13,NA,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2004,NA,NA,"Divided","Yes",NA,3,0.693333333333333,12,"Y_edits","lat long added","grassland",60,0.893890067375757,3.99236131234103,2,12,18,0.166666666666667,0.111111111111111,0.325347227034592,0.225632436769094,0.021273356294526,3.18204868154158,2.96522977609024,0.0742830913079984,0.193527121338149,0.12873702711341,3.94934287265234,0
"3656","Molinia_caerulea","Molinia caerulea","Purple moor grass","Molinia","Poaceae","Poales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyn; Brys; Neubert","Ecol Appl","2005","10.1890/04-1762",NA,4,1997,2000,"1",1,"Rosette diameter","No","Yes","Plot 10",51.4,4.41666666666667,10,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",1997,NA,NA,2000,NA,NA,"Divided","Yes","Unburned",5,1,13,"Y_edits","Use only observation = Unburned","heathland",61,0.491099966625974,NA,NA,NA,NA,NA,NA,NA,0.260868745794419,0.0122530248254132,NA,NA,NA,NA,NA,NA,0
"3660","Molinia_caerulea","Molinia caerulea","Purple moor grass","Molinia","Poaceae","Poales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyn; Brys; Neubert","Ecol Appl","2005","10.1890/04-1762",NA,4,1997,2000,"1",1,"Rosette diameter","No","Yes","Plot 11",51.4,4.41666666666667,10,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",1997,NA,NA,2000,NA,NA,"Divided","Yes","Unburned",5,1,14,"Y_edits","Use only observation = Unburned","heathland",62,0.340586906296024,10.0031020105669,4,66,106,0.0606060606060606,0.0377358490566038,0.215249947921907,0.32605017409742,0.0186056347731189,14.9767927308448,3.60625473846845,0.113136875527338,0.189477680570843,0.129966356609392,15.2658204476812,0
"3664","Molinia_caerulea","Molinia caerulea","Purple moor grass","Molinia","Poaceae","Poales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyn; Brys; Neubert","Ecol Appl","2005","10.1890/04-1762",NA,4,1997,2000,"1",1,"Rosette diameter","No","Yes","Plot 13",51.4,4.41666666666667,10,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",1997,NA,NA,2000,NA,NA,"Divided","Yes","Unburned",5,1,15,"Y_edits","Use only observation = Unburned","heathland",63,0.536033777653512,NA,NA,NA,NA,NA,NA,NA,0.344515049118991,0,NA,NA,NA,NA,NA,NA,0
"3668","Molinia_caerulea","Molinia caerulea","Purple moor grass","Molinia","Poaceae","Poales","Liliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Monocot","Angiosperm","Jacquemyn; Brys; Neubert","Ecol Appl","2005","10.1890/04-1762",NA,4,1997,2000,"1",1,"Rosette diameter","No","Yes","Plot 14",51.4,4.41666666666667,10,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",1997,NA,NA,2000,NA,NA,"Divided","Yes","Unburned",5,1,16,"Y_edits","Use only observation = Unburned","heathland",64,0.619629740928327,NA,NA,NA,NA,NA,NA,NA,0.334646289317111,0,NA,NA,NA,NA,NA,NA,0
"3998","Plantago_media","Plantago media",NA,"Plantago","Plantaginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Eriksson; Eriksson","J Veg Sci","2000","10.2307/3236803",NA,5,1993,1997,"1",2,"Rosette size","No","No","Site A",58.96,17.58,NA,"SWE","Europe","FGS","A","Individual","Unmanipulated","W",1993,NA,NA,1997,NA,NA,"Divided","Yes",NA,5,0.935,17,"Y_edits","Lat/long added, 
                                   note sites are grazed by cattle","grasslands",73,0.340561111264604,0.0397271030598754,2,5,25,0.4,0.08,0.105839411837155,0.143890840992214,0.109513537340804,10.6433257934445,8.25322668435278,0.0106458785343354,1,0.225075228114079,32.8820836676603,0
"4003","Plantago_media","Plantago media",NA,"Plantago","Plantaginaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Eriksson; Eriksson","J Veg Sci","2000","10.2307/3236803",NA,5,1993,1997,"1",2,"Rosette size","No","No","Site B",58.96,17.58,NA,"SWE","Europe","FGS","A","Individual","Unmanipulated","W",1993,NA,NA,1997,NA,NA,"Divided","Yes",NA,5,0.9925,18,"Y_edits","Lat/long added, 
                                   note sites are grazed by cattle","grasslands",74,0.208250293839779,0.118070305034184,2,17,85,0.117647058823529,0.0235294117647059,0.0517089018812625,0.153724465276218,0.121943549513248,31.5329325841195,7.1451272322065,0.00473114042462624,0.32496307016909,0.064034672680057,73.4981369367823,0
"4109","Primula_elatior","Primula elatior","Oxlip","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Jacquemyn; Brys","Ecology","2008","10.1016/j.biocon.2006.07.016","Jacquemyn Ecol 2008 matrices.xls; Jacquemyn Ecol 2008 distributions.xls",4,2004,2007,"1",7,"Plant size","Yes","Yes","22 yr old forest",50.85,4.88333333333333,60,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,0.93482905982906,19,"Y","use as is","forest",75,0.532442674963982,0.0166250345049555,2,3,8,0.666666666666667,0.25,0.154730080092312,0.0472883545518959,0.0374364636532891,8.25936964343623,4.66636528028902,0.120167133400693,NA,0.497238361943253,43.6741809260978,0
"4113","Primula_elatior","Primula elatior","Oxlip","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Jacquemyn; Brys","Ecology","2008","10.1016/j.biocon.2006.07.016","Jacquemyn Ecol 2008 matrices.xls; Jacquemyn Ecol 2008 distributions.xls",4,2004,2007,"1",7,"Plant size","Yes","Yes","51 yr old forest",50.85,4.88333333333333,60,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,1,20,"Y","use as is","forest",76,0.724060720303563,0.199753204907369,2,3,25,0.666666666666667,0.08,0.0645832392012089,0.0253784739063702,0.00530188356611479,25.7453151618398,5.22247191011246,0.106087507588723,NA,0.234611681701949,90.4354574360894,0
"4117","Primula_elatior","Primula elatior","Oxlip","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Jacquemyn; Brys","Ecology","2008","10.1016/j.biocon.2006.07.016","Jacquemyn Ecol 2008 matrices.xls; Jacquemyn Ecol 2008 distributions.xls",4,2004,2007,"1",7,"Plant size","Yes","Yes","81 yr old forest (A)",50.85,4.88333333333333,60,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,1,21,"Y","use as is","forest",77,0.657529004117773,3.26083213698031,2,51,158,0.0392156862745098,0.0126582278481013,0.0413738365512964,0.122338048812175,0.0304908318532376,43.4644571330442,4.87527074112439,0.0201505221373627,0.115390762964066,0.0388737605678589,33.0830472714608,0
"4121","Primula_elatior","Primula elatior","Oxlip","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Jacquemyn; Brys","Ecology","2008","10.1016/j.biocon.2006.07.016","Jacquemyn Ecol 2008 matrices.xls; Jacquemyn Ecol 2008 distributions.xls",4,2004,2007,"1",7,"Plant size","Yes","Yes","81 yr old forest (B)",50.85,4.88333333333333,60,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,1,22,"Y","use as is","forest",78,0.534119089422456,2.77625131017338,2,54,110,0.037037037037037,0.0181818181818182,0.0622330334594636,0.178056072971268,0.018427430255773,27.4966482264888,4.64062500000001,0.0134978211346782,0.0819555935494239,0.0406492572502375,20.7565345566019,0
