"SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue","UID1","checkY","checknote","habitatAuthor"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2001,NA,NA,"Divided","Yes",NA,2,0.35324,117,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 1: = 40% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.01333,118,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2001,NA,NA,"Divided","Yes",NA,2,0.410906,120,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.014479,121,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2001,NA,NA,"Divided","Yes",NA,2,0.433972,123,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.014298,124,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2001,NA,NA,"Divided","Yes",NA,2,0.453193,126,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.014528,127,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2000,NA,NA,2001,NA,NA,"Divided","Yes",NA,2,0.460882,129,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
"Arenaria_serpyllifolia","Arenaria serpyllifolia",NA,"Arenaria","Caryophyllaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Annual","Eudicot","Angiosperm","Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x",NA,3,2000,2002,"1",1,"No","Yes","No","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333,446,"CZE","Europe","TBM","A","Individual","Unmanipulated","W",2001,NA,NA,2002,NA,NA,"Divided","Yes",NA,2,0.01462,130,"Y_edits","DOI added, excel supplied by author so I can't see it, but transition types match paper","grassland and scree"
