"","Name_matched","OrganismType","Class","Ecoregion","Lat","Lon","gps_loc","habitatAuthor","Age_at_Maturity","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","survival_index999","survival_index_LaPlusRepExp","prog_growth","retro_growth","Repro_life_expectancy","GiniF_999","GiniF_99","Gen_time","NSeedStages","Studylength","MatrixDim"
"1","Abies concolor","Tree","Pinopsida","TCF",36.6,-118.8,"36.6 -118.8","forest",1,0.0189125971630749,1.75360385787621,53.5,391,570.5,0.127196883929053,0.0879345603271985,0.618792039185936,0.0173732636562296,0,78.8373718295557,0.301515929548624,0.379450087274623,196.623649796821,0,22,5
"2","Abies concolor","Tree","Pinopsida","TCF",36.6,-118.7,"36.6 -118.7","forest",1,0.0119370695370293,1.47537755239978,57,555,878.5,0.102235486891386,0.0649010054939359,0.583050043321411,0.020807693599217,0,96.3939598341072,0.193690051756393,0.281818286292928,254.024242458126,0,22,5
"3","Abies concolor","Tree","Pinopsida","TCF",37.8,-119.9,"37.8 -119.9","forest",1,0.031930889209615,52.5807731417537,75,806,1227,0.0930521091811414,0.0611246943765281,0.51012036829338,0.0202595951733409,0,146.024123445441,0.141904254800954,0.20827871379421,180.747856798287,0,22,5
"4","Acer saccharum","Tree","Magnoliopsida","TBM",40.15,-88.17,"40.15 -88.17","forest",1,0.0276895480108358,10.9650641484226,39.6666666666667,289,487.666666666667,0.138415123563639,0.0860494708217308,0.680063321566049,0.00856807238895821,2.07279120465862e-19,57.1670117065087,0.159311758435644,0.247405371666513,115.558552799965,0,51,3
"5","Actaea spicata","Herbaceous perennial","Magnoliopsida","TBM",58.9,17.92,"58.9 17.92","Deciduous forest",6.19228024110362,0.457593684093317,0.666243261336167,2,7,12,0.285714285714286,0.166666666666667,0.127496072477431,0.205083059728398,0.0521528079085434,9.49447748513169,0.654258630090441,0.809629022166147,16.0180645344084,1,6,6
"6","Actaea spicata","Herbaceous perennial","Magnoliopsida","TBM",58.9,17.92,"58.9 17.92","Mixed coniferous forest",6.75310198582481,0.187975237024732,0.359984846383138,2,7,10,0.285714285714286,0.2,0.112146771708978,0.227670795050649,0.107655768163401,11.0806703958717,0.777998573331342,0.84025970930932,21.0301442034484,1,6,6
"7","Agrimonia eupatoria","Herbaceous perennial","Magnoliopsida","FGS",58.9333333333333,17.1333333333333,"58.9333333333333 17.1333333333333","road verges, adjacent to gravel road and arable fields",7.76099263345441,0.0943000693215087,2.63528710457498,4,153.5,257,0.0298093340922026,0.0167168017635307,0.0701997418400739,0.156134512797479,0.0645426493657792,46.9112345757074,0.0343555430660381,0.0630553366571813,42.9954239128016,0,6,4
"8","Ailanthus altissima","Tree","Magnoliopsida","TMB",38.5,-90.5,"38.5 -90.5","Forest",6,0.400428353507576,0.535377425293868,4,17,25,0.235294117647059,0.16,0.397153945666236,0.103153392750722,0,4.07166123778502,0.405331902167947,0.427410287257839,13.0050863160059,1,3,4
"9","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",40.06325,-87.9787,"40.06325 -87.9787","Forest",2,1.61017555327189,1.95278557768614,6,29,43,0.206896551724138,0.13953488372093,2,0.0556393196903623,0,1,1,1,4.66340977934293,1,4,3
"10","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",40.07925,-88.2107,"40.07925 -88.2107","Forest",2,1.06628022301451,1.22037400699154,4,15,21,0.266666666666667,0.19047619047619,1.33333333333333,0.075146955082023,0,1,1,1,3.22722408778914,1,4,3
"11","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",40.67668,-89.4878,"40.67668 -89.4878","Forest",2,0.634463644735451,0.677993704846048,4,20,29,0.2,0.137931034482759,1.33333333333333,0.123572283716792,0,1,1,1,5.05529981362356,1,4,3
"12","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",40.72205,-89.5055,"40.72205 -89.5055","Forest",2,2.33712529168396,5.44950094888996,5,23,33,0.217391304347826,0.151515151515152,1.66666666666667,0.100178894585814,0,1,1,1,2.11789219870954,1,4,3
"13","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",41.96451,-85.9962,"41.96451 -85.9962","Forest",2,1.84064140045159,2.21918523716497,8,40,59,0.2,0.135593220338983,2.66666666666667,0.0765312372422165,0,1,1,1,6.84366909054575,1,4,3
"14","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",41.98147,-83.932,"41.98147 -83.932","Forest",2,2.72296410536843,3.69180415456383,8,41,60,0.195121951219512,0.133333333333333,2.66666666666667,0.0504227882551735,0,1,1,1,4.92987179832852,1,4,3
"15","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",42.10862,-88.2148,"42.10862 -88.2148","Forest",2,6.65278403759563,22.215574073456,7,34,50,0.205882352941176,0.14,2.33333333333334,0.22429282583653,0,1,1,1,2.74262970969307,1,4,3
"16","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",42.77765,-86.2025,"42.77765 -86.2025","Forest",2,0.205159880821034,0.172156392338538,4,18,26,0.222222222222222,0.153846153846154,1.33333333333333,0.051878413255691,0,1,1,1,7.21379945398273,1,4,3
"17","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",42.88546,-84.0491,"42.88546 -84.0491","Forest",2,0.593920321887545,0.567352271433813,4,15,21,0.266666666666667,0.19047619047619,1.33333333333333,0.0575985671150097,0,1,1,1,5.0431554049779,1,4,3
