"","Labels","Height_mean","LA_mean","LMA_mean","SM_mean","OrganismType_Compadre_Database","Class","Ecoregion","gps_loc","habitatAuthor","Age_at_Maturity","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","survival_index999","survival_index_LaPlusRepExp","prog_growth","retro_growth","Repro_life_expectancy","GiniF_999","GiniF_99","Gen_time","NSeedStages","Studylength","MatrixDim","bio1","bio2","bio3","bio4","bio5","bio6","bio7","AridityIndex","logAridityIndex","Temp_PCA1","GrowthForm"
"Tsuga_canadensis","Tsuga_canadensis",31.75657143,48,0.122952382,2.500109955,"Tree","Pinopsida","TBM","38.5666666666667 -78.37","forest",36.7545709713807,0.0852825489109725,1.42265541498751,9,74,224,0.121621621621622,0.0401785714285714,0.0845620675907124,0.00502622890359567,0,69.6761284713146,0.491035740964759,0.610680824937264,180.983426368918,0,3,6,9.12416666067309,9.86055553721057,30.3358359826757,819.755324854237,24.8700000127157,-7.60333333015442,32.4733333428701,1.26998999913534,0.239009025742908,-0.291563009593477,"Tree"
"Abies_concolor","Abies_concolor",48.966,100.05,0.25755819,29.64695036,"Tree","Pinopsida","TCF","37.8 -119.9","forest",1,0.031930889209615,52.5807731417537,75,806,1227,0.0930521091811414,0.0611246943765281,0.51012036829338,0.0202595951733409,0,146.024123445441,0.141904254800954,0.20827871379421,180.747856798287,0,22,5,11.12187502572,13.5419643251004,44.7096260935504,640.067966900345,26.8000001226153,-3.48571428230831,30.2857144049236,0.887699997850827,-0.119121433328921,-0.0284704708985483,"Tree"
"Pinus_strobus","Pinus_strobus",39.53904762,140.4,0.173568687,15.08091557,"Tree","Pinopsida","TBM","50.8666666666667 14.4166666666667","Forest",81.4848556577049,0.361977383197424,16.9034833972671,3,67,334.333333333333,0.0871378144628937,0.00975788992016171,0.0143585198205649,0.231691561182133,0,168.253968253968,0.2747903369804,0.710559880045475,137.829967639089,0,3,9,7.55020833710053,7.56541670463048,27.3077210285002,715.436984982837,20.5775001049042,-7.11749997138977,27.6950000762939,0.871575002372265,-0.137453356483276,-0.284090306343146,"Tree"
"Pinus_nigra","Pinus_nigra",30.39777619,139.139639,0.231225036,19.96390587,"Tree","Pinopsida","TGS","-44.266 170.05","Grassland",8.53164556962025,1.40261820228715,110336.746503601,40,268,402,0.149253731343284,0.0995024875621891,0.587827130265077,0.968208246729158,0,59.515570934256,0.0471795972190622,0.0698390272039216,13.3997902846265,0,18,8,9.66973039858481,11.5526961286863,45.6998862201794,499.527351067657,21.1941178826725,-4.08529403630425,25.2794119189767,0.799329410581028,-0.223982139604819,-0.00581006703818125,"Tree"
"Pinus_ponderosa","Pinus_ponderosa",61.58518788,178.85,0.313012445,35.19979408,"Tree","Pinopsida","MED","37.8 -119.9","forest",1,0.00907783969674609,0.0623463565987449,19,144,1231,0.131944444444444,0.0154346060113729,0.618855149750648,0.00570645954546071,0,29.7018532651066,0.0878724986875873,0.596651051098887,1485.90024815148,0,13,5,11.12187502572,13.5419643251004,44.7096260935504,640.067966900345,26.8000001226153,-3.48571428230831,30.2857144049236,0.887699997850827,-0.119121433328921,-0.028470470898548,"Tree"
"Trillium_grandiflorum","Trillium_grandiflorum",0.325,8000,0.028011204,10.7,"Herbaceous perennial","Liliopsida","TBM","41.725 -80.04","forest",15.5985510147783,0.279076389248783,1.41499877496924,2,20,89,0.10989010989011,0.028525641025641,0.0355818555386833,0.142952422714057,0.05240855122475,42.490437087308,0.22891859426438,0.529928901186809,45.1023519962136,1,3,6,8.233463526587,10.8872396439159,29.8050421870989,940.296207593578,24.9843751192093,-11.543750166893,36.5281252861023,1.19192813336849,0.17557227602735,-0.435687793015262,"Forb"
"Allium_vineale","Allium_vineale",0.47,1195,0.053531045,13.0008,"Herbaceous perennial","Liliopsida","TBM","38.5 -90.5","Grassland",2.01010101010101,1.01768166034979,1.40612459889579,2,5,6,0.4,0.333333333333333,0.625909860543253,0.125523906694947,0.00242665306270738,1.18524727577536,0.523893951526771,0.512774696903114,2.16022348637132,1,2,3,12.7223214003302,11.357738090413,29.5382292720398,967.303839443096,30.9535713195801,-7.49642857483455,38.4499998944146,0.846764287778309,-0.166332913758697,-0.294191969700359,"Forb"
"Epipactis_atrorubens","Epipactis_atrorubens",0.36,1219.216667,0.043713156,0.01,"Herbaceous perennial","Liliopsida","BOR","66.3666666666667 29.3166666666667","forest",13.0988152747159,0.79821276752795,7.43259548173486,2,7.5,392.5,0.267857142857143,0.00709867611951096,0.0147007840337494,0.0704179008724635,0.0504640972900981,169.861122114302,0.0465413529134623,0.66078732159879,73.6603754581291,0,8,11,-0.786111116502434,8.89833330795583,23.3785456332244,1037.46210200444,18.0299998919169,-20.0250001271566,38.0550000190735,1.29716667135557,0.26018240236392,-0.817781310646345,"Forb"
"Himantoglossum_hircinum","Himantoglossum_hircinum",0.5,3352.5,0.050403226,5e-05,"Herbaceous perennial","Liliopsida","TBM","50.9461111111111 11.5930555555556","grassland",7.49650618236638,0.580528405759064,5.91979202132633,2,3,22,0.666666666666667,0.0909090909090909,0.124467471905602,0.128885277121485,0.08805701777995,8.57194904838526,0.080476849252125,0.593666642907124,6.39621170929863,1,26,5,9.30601850632337,7.92685181045629,30.9870817239849,656.865658573504,21.202777756585,-4.37499994701809,25.5777777036031,0.800513883431753,-0.222501403245729,-0.158068941474503,"Forb"
"Orchis_purpurea","Orchis_purpurea",0.463,8301.25,0.034940601,0.0016,"Herbaceous perennial","Liliopsida","TBM","50.75 5.75","Grassland",5.02353607542871,0.0307500493279622,2.97621472444797,2,3,64,0.666666666666667,0.03125,0.019105784421706,0.242505202193071,0.175564413588967,99.6568034414253,0.0549188464458396,NA,63.8727568211705,2,7,6,9.89197914072623,7.95562497240802,34.1148916094348,583.033840821483,20.8824997901917,-2.43750002980232,23.319999819994,1.15561749339104,0.144634827424612,-0.0634096486395613,"Forb"
"Astrocaryum_mexicanum","Astrocaryum_mexicanum",8,8742.5,0.070270737,4014.666667,"Palm","Liliopsida","TMB","18.6 -95.12","forest",58.5676827860712,0.748258253725456,130.557822851535,2,12.5,2124.25,0.162121212121212,0.00532485172752311,0.00164784269059103,0.0345906190456848,0,1754.6402862174,0.191025174398274,0.823775691334874,250.868997204534,0,7,14,24.1085069212649,9.04201394319534,57.425452361542,219.706073763456,31.6583335399628,15.912499944369,15.7458335955938,2.07715418934822,0.730998778704885,0.806430107153982,"Palm"
"Molinia_caerulea","Molinia_caerulea",0.641318182,801.8397916,0.054897829,0.737791111,"Herbaceous perennial","Liliopsida","TBM","51.4 4.41666666666667","heathland",3.60625473846845,0.340586906296024,10.0031020105669,4,66,106,0.0606060606060606,0.0377358490566038,0.215249947921907,0.32605017409742,0.0186056347731189,14.9767927308448,0.129966356609392,0.189477680570843,15.2658204476812,0,4,5,10.2284374966597,7.26604165546596,33.5532538366798,551.380209468189,20.6300004005432,-1.02500000596046,21.6550004065037,1.13897999823093,0.130133123495167,-0.0199340778987289,"Perennial graminoid"
